clone,hit_hi
S0045M,NA
S005QE,92.99614104
S005QF,115.1465224
S005QJ,87.859285
S005QK,NA
S005QL,114.5781459
S005QM,118.1076892
S005QN,96.22156599
S005QP,114.4740112
S005QQ,112.7854595
S005QR,98.59187574
S005QT,120.2604039
S005QV,117.710143
S005QW,113.6758468
S005QX,113.6758468
S005QY,115.1973849
S005R0,113.2096267
S005R2,97.58951234
S005R6,117.8225091
S005R8,97.40867311
S005R9,120.2604039
S005RA,98.59187574
S005RC,98.59187574
S005RE,116.3769277
S005RF,117.3682213
S005RH,116.8242226
S005RJ,115.0013858
S005RK,114.7580483
S005RL,117.7285767
S005RM,91.4851779
S005RN,114.290632
S005RP,114.290632
S005RQ,117.710143
S005RT,117.710143
S005RU,87.859285
S005RV,87.859285
S005RX,113.8525958
S005RY,118.6536718
S005T0,118.6536718
S005T1,117.710143
S005T2,115.0137154
S005T3,102.39938
S005T4,109.8132622
S005T6,116.3818192
S005T7,118.6536718
S005T9,116.6593851
S005TA,116.6593851
S005TC,114.290632
S005TE,118.1076892
S005TF,116.3818192
S005TH,115.1465224
S005TJ,115.7387978
S005TK,94.6809305
S005TL,96.90466733
S005TM,96.90466733
S005TN,97.58951234
S005TP,96.90098182
S005TQ,96.90098182
S005TR,96.90098182
S005TT,114.4361398
S005TU,114.4361398
S005TV,116.8242226
S005TW,91.50157297
S005TX,96.38558951
S005TY,98.46032791
S005U0,97.94778398
S005U1,91.16741957
S005U2,90.00651057
S005U3,90.00651057
S005U4,108.0498279
S005U5,97.76819437
S005U6,98.11395996
S005U7,97.59741129
S005U8,91.16741957
S005U9,97.09098497
S005UA,111.0533415
S005UC,97.26176805
S005UF,107.8796556
S005UJ,125.9522743
S005UK,125.9522743
S005UM,125.9522743
S005UN,125.9522743
S005UP,97.93468124
S005V3,99.2776966
S005V4,99.2776966
S005V5,98.42658773
S005V6,97.06777903
S005V7,97.22512824
S005V8,98.42658773
S005VA,115.0137154
S005VC,87.859285
S005VE,97.58951234
S005VH,117.9226095
S005VJ,116.6397058
S005VK,109.8132622
S005VL,98.28044682
S005VM,97.06777903
S005VQ,118.8197558
S005VR,118.6536718
S005VV,115.0137154
S005VW,110.6937327
S005VX,99.2776966
S005W0,102.39938
S005W1,110.6937327
S005W2,127.0706979
S005W4,107.2860497
S005W5,107.2860497
S005W6,106.7777686
S005W7,106.7777686
S005WA,121.1224143
S005WF,107.2860497
S005WH,106.7777686
S005WJ,120.2604039
S005WK,116.8242226
S005WL,109.612328
S005WM,109.612328
S005WN,109.612328
S005WP,109.612328
S005WT,109.612328
S005WU,107.6711273
S005WV,107.6711273
S005WW,107.6711273
S005X0,107.6711273
S005X1,107.6711273
S005X2,107.5000413
S005X3,107.5000413
S005X4,107.5000413
S005X5,107.5000413
S005X8,107.6711273
S005X9,107.6711273
S005XA,107.6711273
S005XC,107.6711273
S005XE,107.6711273
S005XH,107.6711273
S005XJ,107.6711273
S005XL,96.54083042
S005XN,96.54083042
S005XQ,96.54083042
S005XR,96.54083042
S005XU,96.71618065
S005XV,96.71618065
S005XW,96.71618065
S005XY,96.71618065
S005Y1,96.5469201
S005Y2,96.5469201
S005Y4,96.5469201
S005Y5,96.5469201
S005Y6,96.36823708
S005Y7,96.36823708
S005Y8,96.36823708
S005YA,NA
S005YC,96.36823708
S005YE,96.36823708
S005YH,NA
S005YJ,NA
S005YK,NA
S005YL,116.4416332
S005YM,116.4416332
S005YN,116.4416332
S005YQ,116.4416332
S005YR,116.4416332
S005YT,116.4416332
S005YU,117.1773937
S005YV,117.1773937
S005YW,117.1773937
S005YX,117.1773937
S005YY,117.1773937
S00600,117.1773937
S00601,117.1773937
S00602,117.1773937
S00603,115.9091087
S00604,115.9091087
S00605,115.9091087
S00606,115.9091087
S00607,115.9091087
S00608,115.9091087
S00609,115.9091087
S0060A,115.9091087
S0060C,116.981705
S0060E,116.981705
S0060F,116.981705
S0060H,116.981705
S0060J,116.981705
S0060L,116.981705
S0060N,NA
S0060Q,NA
S0060R,NA
S0060T,98.42658773
S0060V,NA
S0060W,NA
S0060X,110.6937327
S0060Y,109.8132622
S00611,NA
S00612,100.5033022
S00613,NA
S00614,NA
S00615,NA
S00616,NA
S00618,NA
S0061A,NA
S0061C,NA
S0061E,NA
S0061F,NA
S0061H,NA
S0061J,NA
S0061K,NA
S0061L,NA
S0061M,NA
S0061N,NA
S0061Q,NA
S0061R,NA
S0061T,NA
S0061U,NA
S0061V,NA
S0061W,NA
S0061X,NA
S0061Y,NA
S00620,NA
S00621,NA
S00622,NA
S00626,NA
S00627,NA
S00628,NA
S00629,NA
S0062C,NA
S0062E,NA
S0062F,NA
S0062H,NA
S0062J,NA
S0062L,NA
S0062M,NA
S0062P,NA
S0062Q,NA
S0062R,NA
S0062T,NA
S0062U,NA
S0062V,98.42292124