clone,HI
S0045M,NA
S005QE,63.94669326
S005QF,81.21696064
S005QJ,57.43007707
S005QK,NA
S005QL,83.28809497
S005QM,84.47222102
S005QN,66.34369692
S005QP,82.0432109
S005QQ,81.36322912
S005QR,67.6790119
S005QT,87.71987978
S005QV,82.83572752
S005QW,81.35677158
S005QX,81.35677158
S005QY,82.05100543
S005R0,79.4937542
S005R2,68.30158237
S005R6,86.36859174
S005R8,68.1421838
S005R9,87.71987978
S005RA,67.6790119
S005RC,67.6790119
S005RE,83.44631145
S005RF,83.97932782
S005RH,83.82307858
S005RJ,80.76744953
S005RK,86.05170864
S005RL,84.30917338
S005RM,61.29810076
S005RN,82.20593007
S005RP,82.20593007
S005RQ,82.83572752
S005RT,82.83572752
S005RU,57.43007707
S005RV,57.57681735
S005RX,81.67512396
S005RY,85.77163735
S005T0,85.77163735
S005T1,82.83572752
S005T2,82.68883634
S005T3,69.51385482
S005T4,78.05754035
S005T6,84.26141177
S005T7,85.77163735
S005T9,84.30760781
S005TA,84.30760781
S005TC,82.20593007
S005TE,84.47222102
S005TF,84.26141177
S005TH,81.21696064
S005TJ,82.37054327
S005TK,64.83253891
S005TL,67.39349851
S005TM,67.39349851
S005TN,67.9999357
S005TP,66.34369692
S005TQ,66.34369692
S005TR,66.34369692
S005TT,79.15419804
S005TU,79.15419804
S005TV,83.82307858
S005TW,62.92350765
S005TX,66.04512738
S005TY,69.22403114
S005U0,69.0677819
S005U1,62.19355889
S005U2,61.17649819
S005U3,61.17649819
S005U4,76.64756498
S005U5,68.7599614
S005U6,69.06261779
S005U7,68.60839612
S005U8,62.19355889
S005U9,68.61357152
S005UA,79.32348883
S005UC,68.92139202
S005UF,76.48869788
S005UJ,94.18503347
S005UK,94.18503347
S005UM,93.51020442
S005UN,93.51020442
S005UP,68.45280784
S005V3,66.02543901
S005V4,66.02543901
S005V5,67.68592708
S005V6,66.93849781
S005V7,67.52233349
S005V8,67.68592708
S005VA,82.68883634
S005VC,57.57681735
S005VE,67.9999357
S005VH,85.44791471
S005VJ,84.63005108
S005VK,78.05754035
S005VL,69.0677819
S005VM,66.63888977
S005VQ,86.09474704
S005VR,85.77163735
S005VV,82.68883634
S005VW,78.0601083
S005VX,66.02543901
S005W0,69.51385482
S005W1,78.0601083
S005W2,94.18534071
S005W4,76.45228077
S005W5,76.45228077
S005W6,74.75018042
S005W7,74.75018042
S005WA,92.48969403
S005WF,76.45228077
S005WH,74.75018042
S005WJ,87.71987978
S005WK,83.82307858
S005WL,78.9943597
S005WM,78.9943597
S005WN,78.9943597
S005WP,78.9943597
S005WT,78.9943597
S005WU,77.57996958
S005WV,77.57996958
S005WW,77.57996958
S005X0,77.57996958
S005X1,77.57996958
S005X2,77.10742043
S005X3,77.10742043
S005X4,77.10742043
S005X5,77.10742043
S005X8,77.25966319
S005X9,77.25966319
S005XA,77.25966319
S005XC,77.25966319
S005XE,77.25966319
S005XH,77.25966319
S005XJ,77.25966319
S005XL,66.76870042
S005XN,66.76870042
S005XQ,66.76870042
S005XR,66.76870042
S005XU,66.92029437
S005XV,66.92029437
S005XW,66.92029437
S005XY,66.92029437
S005Y1,66.62403865
S005Y2,66.62403865
S005Y4,66.62403865
S005Y5,66.62403865
S005Y6,66.76461514
S005Y7,66.76461514
S005Y8,66.76461514
S005YA,NA
S005YC,66.76461514
S005YE,66.76461514
S005YH,NA
S005YJ,NA
S005YK,NA
S005YL,79.65338584
S005YM,79.65338584
S005YN,79.65338584
S005YQ,79.65338584
S005YR,79.65338584
S005YT,79.65338584
S005YU,79.66029304
S005YV,79.66029304
S005YW,79.66029304
S005YX,79.66029304
S005YY,79.66029304
S00600,79.66029304
S00601,79.66029304
S00602,79.66029304
S00603,76.81835626
S00604,76.81835626
S00605,76.81835626
S00606,76.81835626
S00607,76.81835626
S00608,76.81835626
S00609,76.81835626
S0060A,76.81835626
S0060C,82.04826946
S0060E,82.04826946
S0060F,82.04826946
S0060H,82.04826946
S0060J,82.04826946
S0060L,82.04826946
S0060N,NA
S0060Q,NA
S0060R,NA
S0060T,67.68592708
S0060V,NA
S0060W,NA
S0060X,78.0601083
S0060Y,78.05754035
S00611,NA
S00612,66.64375753
S00613,NA
S00614,NA
S00615,NA
S00616,NA
S00618,NA
S0061A,NA
S0061C,NA
S0061E,NA
S0061F,NA
S0061H,NA
S0061J,NA
S0061K,NA
S0061L,NA
S0061M,NA
S0061N,NA
S0061Q,NA
S0061R,NA
S0061T,NA
S0061U,NA
S0061V,NA
S0061W,NA
S0061X,NA
S0061Y,NA
S00620,NA
S00621,NA
S00622,NA
S00626,NA
S00627,NA
S00628,NA
S00629,NA
S0062C,NA
S0062E,NA
S0062F,NA
S0062H,NA
S0062J,NA
S0062L,NA
S0062M,NA
S0062P,NA
S0062Q,NA
S0062R,NA
S0062T,NA
S0062U,NA
S0062V,65.88036178