taxa,order,lat,long,state,K2,K3,species,K2_ext,K3_ext,K3_ext_species,wild_vs_breeding
S005UF,125,37.91737,-94.0036,MO,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005UK,126,30.55917,-96.2375,TX,N_A,N_A,s_radula,N_A,N_A,s_radula,wild_collection
S005UM,127,30.54,-96.04027778,TX,N_A,N_A,s_radula,N_A,N_A,s_radula,wild_collection
S005UN,128,30.54,-96.04027778,TX,N_A,N_A,s_radula,N_A,N_A,s_radula,wild_collection
S005V3,129,41.62292,-97.9353,NE,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005V6,130,41.49604,-94.0608076,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005VC,131,43.56176,-89.6557,WI,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005VE,132,40.9771,-94.1764724,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005VH,133,35.48981,-95.6183,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005VJ,134,36.24761,-95.3364,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005VK,135,37.29903,-94.4164,MO,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005VL,136,41.02281,-92.878611,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005VM,137,42.14294,-96.3855,NE,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005VQ,138,35.25375,-95.1894,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005VR,139,35.26778,-95.8253,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005W0,140,41.405,-97.7092,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005W1,141,39.1061,-96.5993,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005W2,142,30.39889,-96.0903,TX,N_A,N_A,s_radula,N_A,N_A,s_radula,wild_collection
S005W4,143,36.79122,-87.4569,KY,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005W5,144,36.79122,-87.4569,KY,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WJ,145,33.69922,-95.6473,TX,N_A,N_A,s_radula,N_A,N_A,s_radula,wild_collection
S0060N,146,N_A,N_A,check,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0060R,147,N_A,N_A,check,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0060V,148,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,N_A
S0060X,149,39.1061,-96.5993,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S0060Y,150,37.29903,-94.4164,MO,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S00611,151,N_A,N_A,Bad_Astra,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S00612,152,42.13075,-98.0382,NE,west,west,s_perfoliatum,west,west,s_perfoliatum,wild_collection
S00613,153,N_A,N_A,F1,N_A,N_A,integrifolium_x_perfoliatum,N_A,N_A,s_integrifolium_x_perfoliatum,breeding
S00616,154,N_A,N_A,F1,N_A,N_A,integrifolium_x_perfoliatum,N_A,N_A,s_integrifolium_x_perfoliatum,breeding
S00618,155,N_A,N_A,F1,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061C,156,N_A,N_A,F1,N_A,N_A,integrifolium_x_perfoliatum,N_A,N_A,s_integrifolium_x_perfoliatum,breeding
S0061E,157,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061F,158,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061J,159,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061K,160,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061M,161,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061N,162,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061R,163,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061T,164,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061V,165,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061W,166,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S00621,167,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S00622,168,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S00626,169,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062C,170,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062H,171,N_A,N_A,AL,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062J,172,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062L,173,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062T,174,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062U,175,N_A,N_A,elite_genet,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0045M,176,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S005QE,177,41.96783,-90.3832042,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005QJ,178,43.55811,-89.6843,WI,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005QK,179,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005QL,180,33.59772,-88.8122,MS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005QM,181,35.54856,-95.9514,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005QQ,182,34.34467,-89.7259,MS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005QR,183,41.25269,-94.9856,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005QV,184,34.77003,-94.6445,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005R0,185,38.47769,-97.4689,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005R2,186,41.22718,-93.5677327,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005R6,187,32.48381,-90.0997,MS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005R8,188,41.60749,-91.74554,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005R9,189,33.69922,-95.6473,TX,N_A,N_A,s_radula,N_A,N_A,s_radula,wild_collection
S005RE,190,33.34633,-89.7495,MS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005RF,191,36.72819,-95.823,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005RH,192,36.71372,-95.7128,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005RJ,193,38.68219,-97.1669,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005RP,194,36.66453,-95.3068,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005RT,195,34.77003,-94.6445,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005RX,196,33.27442,-89.2962,MS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005T0,197,35.26778,-95.8253,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005T2,198,36.695,-95.3765,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005T3,199,41.405,-97.7092,NE,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005T6,200,33.70853,-89.7683,MS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005T7,201,35.26778,-95.8253,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005TF,202,33.70853,-89.7683,MS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TH,203,36.12867,-91.1576,AR,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TK,204,42.04191,-93.7278984,IA,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005TL,205,41.11348,-93.9566582,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TM,206,41.11348,-93.9566582,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TP,207,41.57353,-94.4907,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TQ,208,41.57353,-94.4907,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TR,209,41.57353,-94.4907,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TT,210,36.27336,-91.3548,AR,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TV,211,36.71372,-95.7128,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005TW,212,42.44837,-93.0517159,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TX,213,41.7286,-88.11756,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005U0,214,40.6166,-92.838458,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005U1,215,42.11257,-89.2608,IL,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005U5,216,40.93493,-92.7638979,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005U6,217,40.80523,-92.8204025,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005U8,218,42.11257,-89.2608,IL,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005UC,219,40.83406,-92.9159244,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005UJ,220,30.55917,-96.2375,TX,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005UP,221,40.64499,-93.1827744,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005V4,222,41.62292,-97.9353,NE,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005V5,223,42.08789,-96.3279,NE,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005V7,224,41.55366,-91.1932217,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005V8,225,42.08789,-96.3279,NE,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005VA,226,36.58919,-95.2205,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005VV,227,36.695,-95.3765,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005VW,228,39.1061,-96.5993,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005VX,229,41.62292,-97.9353,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005W6,230,38.46611,-90.8217,MO,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005W7,231,38.46611,-90.8217,MO,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WA,232,30.02985,-95.255,TX,N_A,N_A,s_radula,N_A,N_A,s_radula,wild_collection
S005WF,233,36.79122,-87.4569,KY,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WH,234,38.46603,-90.8216,MO,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WK,235,36.71372,-95.7128,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S0060Q,236,N_A,N_A,check,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0060T,237,42.08789,-96.3279,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S0060W,238,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,N_A
S00614,239,N_A,N_A,F1,N_A,N_A,integrifolium_x_perfoliatum,N_A,N_A,s_integrifolium_x_perfoliatum,breeding
S00615,240,N_A,N_A,F1,N_A,N_A,integrifolium_x_perfoliatum,N_A,N_A,s_integrifolium_x_perfoliatum,breeding
S0061A,241,N_A,N_A,F1,N_A,N_A,integrifolium_x_perfoliatum,N_A,N_A,s_integrifolium_x_perfoliatum,breeding
S0061H,242,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061L,243,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061Q,244,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061U,245,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061X,246,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061Y,247,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S00620,248,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S00627,249,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S00628,250,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S00629,251,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062E,252,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062F,253,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062M,254,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062P,255,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062Q,256,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062R,257,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062V,258,42.41286,-97.223,NE,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection